"","GroupNumber","unique_ID","dif_blue","dif_blue_abs","chosen_leader","Leader_gender","Follower_gender","skill_dif","skill_dif_c","leader_behaviour","Sensitivity_roll","Gender","answer","Trial","Subject"
"580",13,"13_9bf9f38d",-3,3,"Left_lead",1,0,0.957510838933919,-0.0424891610660812,"1",0.12645105840216,"Female",0,49,"9bf9f38d"
"583",13,"13_9bf9f38d",2,2,"Left_lead",1,0,0.966746833187088,-0.0332531668129119,"0",0.135723764904895,"Female",1,51,"9bf9f38d"
"587",13,"13_9bf9f38d",-2,2,"Left_lead",1,0,1.29824073696275,0.298240736962746,"1",0.146816129333215,"Female",0,55,"9bf9f38d"
"590",13,"13_9bf9f38d",-2,2,"Left_lead",1,0,0.973441085974063,-0.0265589140259375,"0",0.16976460176055,"Female",1,58,"9bf9f38d"
"595",13,"13_9bf9f38d",-3,3,"Left_lead",1,0,1.01650372797404,0.0165037279740361,"1",0.193028474598845,"Female",1,62,"9bf9f38d"
"600",13,"13_9bf9f38d",2,2,"Left_lead",1,0,0.970835194443739,-0.0291648055562606,"1",0.166640344791605,"Female",0,67,"9bf9f38d"
"601",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.9783272316056,-0.0216727683944004,"0",0.162547698991189,"Female",1,68,"9bf9f38d"
"604",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.980575475214283,-0.0194245247857165,"1",0.16876001055695,"Female",0,70,"9bf9f38d"
"606",13,"13_9bf9f38d",-4,4,"Left_lead",1,0,0.97546203720966,-0.0245379627903403,"1",0.1796511580617,"Female",1,72,"9bf9f38d"
"607",13,"13_9bf9f38d",-1,1,"Left_lead",1,0,0.898597234294305,-0.101402765705695,"1",0.168439034081035,"Female",1,73,"9bf9f38d"
"613",13,"13_9bf9f38d",2,2,"Left_lead",1,0,0.970771054158965,-0.0292289458410349,"1",0.168218710532056,"Female",0,79,"9bf9f38d"
"627",13,"13_9bf9f38d",1,1,"Left_lead",1,0,1.18040285942967,0.180402859429668,"1",0.20659684894685,"Female",0,91,"9bf9f38d"
